Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
2.56,1.005517133,1.008348978,1.008330752,1.00832621,1.008325521,1.008324946,1.008321311,1.008305271,1.008257251,1.008147432,1.007939523,1.007596021,1.007082765,1.006371744,1.005442128,1.004279982,1.002877254,1.001230474,0.999339493,0.997206404
2.6,1.023118576,1.025341782,1.02536072,1.02536239,1.025362453,1.025362005,1.025358689,1.025343723,1.025298253,1.025193105,1.024992301,1.024658242,1.024156349,1.023458035,1.022541904,1.0213936,1.020004847,1.01837217,1.016495608,1.014377587
2.64,1.042738367,1.043808477,1.043835265,1.043837047,1.04383726,1.043836984,1.043834059,1.043820387,1.043778148,1.043679215,1.043488316,1.043168035,1.042683469,1.042005367,1.041111518,1.039986772,1.038622193,1.037013839,1.035161481,1.033067463
2.68,1.06598864,1.065622472,1.065612639,1.065610387,1.065610059,1.06560966,1.065607058,1.065594987,1.065557154,1.065467316,1.065291919,1.064994697,1.064541192,1.063901942,1.063054056,1.061981424,1.060674044,1.059126927,1.057338885,1.055311428
2.72,1.088137178,1.087360558,1.087398807,1.087402675,1.087402983,1.087402749,1.087400542,1.08738991,1.087355982,1.087274306,1.087113029,1.086837125,1.086412731,1.085810375,1.085006684,1.083984767,1.082733711,1.08124759,1.079524336,1.077564667
2.76,1.108346251,1.107311395,1.107306136,1.107304118,1.107304032,1.107303924,1.107302024,1.107292413,1.107261189,1.107185062,1.107033221,1.106771311,1.106365696,1.105786737,1.105010632,1.104019945,1.102803214,1.10135404,1.099669992,1.097751539
2.8,1.127260033,1.126521934,1.126517191,1.126515291,1.126514751,1.126514324,1.126512449,1.126503565,1.126474403,1.126402332,1.126256909,1.12600368,1.125608449,1.125040695,1.124275604,1.123294777,1.12208596,1.120642208,1.118960812,1.117042213
2.84,1.145628682,1.145558136,1.145604735,1.145610849,1.14561165,1.145611628,1.145610112,1.145602136,1.145575305,1.145508016,1.145370704,1.145129391,1.14474987,1.144201186,1.143457803,1.142500478,1.141316127,1.139897082,1.138240066,1.136345131
2.88,1.164942662,1.165321992,1.165298232,1.165292535,1.165291758,1.165291573,1.165290226,1.165283141,1.165259015,1.165197847,1.16507184,1.164848592,1.164495023,1.163980758,1.163280343,1.162374218,1.161248713,1.159895423,1.158310277,1.156492525
2.92,1.184504063,1.185567818,1.185582099,1.185584215,1.18558443,1.185584175,1.185582863,1.18557649,1.18555472,1.185498968,1.185383037,1.185175969,1.184845734,1.184362521,1.183700981,1.182841298,1.181769305,1.180475963,1.178956519,1.177209548
2.96,1.204801459,1.206098232,1.206160066,1.206170014,1.206171566,1.20617177,1.206170824,1.206165204,1.206145327,1.206093557,1.205984598,1.205788095,1.205472212,1.205006934,1.204366407,1.203530151,1.202483302,1.201216194,1.199723567,1.198003652
3,1.227288769,1.22753088,1.227503919,1.227496733,1.227495583,1.227495348,1.227494422,1.22748936,1.227471222,1.227423242,1.227320901,1.227134262,1.226831415,1.226381808,1.225758707,1.224940579,1.223911485,1.222660783,1.221182415,1.219474023
3.04,1.248310973,1.247543476,1.247566754,1.247569726,1.247569912,1.247569684,1.24756876,1.24756416,1.247547601,1.247503235,1.247407497,1.247231174,1.246942681,1.246511355,1.245909993,1.245116346,1.244113654,1.242890451,1.24143994,1.23975915
3.08,1.266768883,1.26520349,1.265271928,1.265285685,1.265288122,1.265288499,1.2652879,1.265283868,1.265268833,1.265228031,1.265139221,1.264974527,1.264703492,1.264296254,1.26372604,1.262970706,1.262013341,1.260842158,1.259449936,1.257833235
3.12,1.286129219,1.283971178,1.283947625,1.283937902,1.28393551,1.283935124,1.283934549,1.283930945,1.283917237,1.283879602,1.283796977,1.283642667,1.28338721,1.283001434,1.28245893,1.28173763,1.280820476,1.2796954,1.278354821,1.27679492
3.16,1.307152083,1.305409687,1.305391744,1.305387488,1.305386665,1.305386259,1.305385475,1.305382053,1.305369491,1.305334754,1.305257646,1.305112187,1.304869296,1.304499791,1.303976899,1.303277931,1.30238508,1.301285498,1.29997089,1.298436837
3.2,1.328461059,1.327717841,1.327814569,1.327833034,1.327835941,1.327836389,1.327836072,1.32783329,1.327822197,1.327790728,1.327719794,1.327584392,1.327356071,1.327005825,1.326506615,1.32583513,1.32497271,1.323905546,1.322624376,1.321123884
3.24,1.348901222,1.348728677,1.348690184,1.348677779,1.348675069,1.348674614,1.34867419,1.348671678,1.348661667,1.348632935,1.348567434,1.348441155,1.348226393,1.347894507,1.347418437,1.346774509,1.345943459,1.344910737,1.343666294,1.342204053
