Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
1.6,0.09574423330121967,0.09596193802256328,0.09639265709989872,0.09706039789307523,0.09789133922518184,0.09874283939256073,0.09947186240419535,0.09999566201837451,0.10029583181872809,0.10039202811459622,0.1003174585273155,0.10010548744071343,0.0997845510529391,0.09937718459557499,0.09890060216335143,0.09836766801365349,0.09778783088965182,0.09716790410727552,0.09651268614959962,0.09582544770429746
1.6400000000000001,0.09938353120361886,0.09957747318297745,0.09998286865594996,0.10061974235011015,0.10142002739044291,0.10224742004385676,0.1029625554861766,0.10348219647720355,0.10378510618039852,0.10388797694642972,0.10382187581121138,0.10361889232571611,0.10330680831397117,0.1029078890300305,0.10243930235723146,0.10191399258267253,0.10134155673360183,0.10072898903846227,0.10008127839817764,0.09940187975991017
1.68,0.10302411009284895,0.10319478794245926,0.1035763833852272,0.1041838289755655,0.10495450581596377,0.10575818757262344,0.10645917405497264,0.10697398864408653,0.10727884623835138,0.1073876471383482,0.10732938199917794,0.10713486904775552,0.10683121398554296,0.1064403827123377,0.10597946709239651,0.10546146397687403,0.10489609478995826,0.10429051508308856,0.10364988931746813,0.10297784672446773
1.72,0.10666368870245935,0.10681371345244445,0.10717293548764634,0.10775231572635996,0.10849439726188892,0.10927478556150469,0.10996142544174542,0.11047082106458109,0.11077689892820364,0.1108909329479921,0.1108399041669072,0.11065336792460886,0.11035773673230062,0.10997465161105213,0.10952110161827873,0.1090101109369941,0.10845150296086493,0.10785257567715463,0.10721865425046156,0.10655353162370122
1.76,0.11030112582826845,0.11043409875192378,0.11077228427952218,0.11132489040712538,0.11203935478157359,0.11279688284408831,0.11346903424729053,0.11397248639628502,0.11427911652075998,0.11439773122348575,0.11435337040813093,0.11417433915866484,0.11388634388904612,0.11351067871744197,0.11306420591118232,0.11255995389651663,0.11200782709510526,0.11141524786942872,0.11078768742585698,0.11012909148164922
1.8,0.11393607090745529,0.11405580907761037,0.11437421127051058,0.11490126735307378,0.11558905860197283,0.11632417123668662,0.116981741097519,0.11747878688819009,0.11778535646856154,0.11790794140879851,0.11786970992992288,0.1176977330408017,0.11741700184193068,0.11704844469709887,0.11660877569195521,0.11611100644443043,0.115565102943873,0.11497859477913563,0.11435708488650055,0.11370466065334872
1.84,0.11756858872382518,0.11767872426106157,0.11797851764064246,0.1184811845534154,0.11914321339003114,0.11985636351181213,0.1204993014993738,0.12098953388261124,0.12129548124700373,0.12142146553444041,0.1213888531231781,0.12122350010888967,0.12094967632969247,0.12058792841355861,0.12015480325823222,0.11966327654213149,0.11912335781453529,0.11854266770636987,0.11792692704104814,0.11728035376963139
1.8800000000000001,0.12119900768195521,0.12130273715992196,0.12158502205178304,0.12206440114663786,0.12270154584965781,0.12339319158414824,0.12402148478902307,0.12450454734019718,0.12480935819240771,0.12493820819665528,0.12491073161369713,0.12475159127090989,0.12448433268164755,0.12412910734866628,0.12370227816403456,0.12321676753394675,0.12268261196606373,0.12210750793995494,0.12149728088133377,0.12085626833131678
1.92,0.12482796931944307,0.12492775211389323,0.12519355874003452,0.12565069523118855,0.12626380260288997,0.12693440488370192,0.1275480731646973,0.12802365538810334,0.12832685933893212,0.12845807652759944,0.12843527829804646,0.12828195790044133,0.12802093600568853,0.12767195793978575,0.12725118777399524,0.126771478984883,0.12624287978419832,0.12567314830270637,0.12506820190446297,0.1244324869882089
1.96,0.12845651063747907,0.12855368344823787,0.12880397584529246,0.12923986194492995,0.1298297483162406,0.1304797688941596,0.13107886079708375,0.13154669389109058,0.1318478612558161,0.13198098015847828,0.1319624273674108,0.13181455191053035,0.1315594513367881,0.13121645585013902,0.13080151771482035,0.13032740737409054,0.1298041707693447,0.12923961446955495,0.1286397357751452,0.12800907953608193
2.0,0.13208594383898487,0.13218045406609358,0.1324161339419307,0.1328317117746709,0.13339916403932234,0.13402906383732924,0.13461365301072795,0.13507350604507792,0.13537224488612626,0.1355068311772143,0.13549211432192712,0.13534932581060335,0.1350998437543018,0.13476257618544146,0.13435325224267147,0.13388454666810373,0.13336649036568232,0.13280692608980585,0.13221191976033758,0.1315861046624348
2.04,0.13571742231896416,0.13580799417531605,0.13602990474086576,0.1364260690635265,0.13697184572787371,0.137582083487017,0.1381522655304137,0.13860394199250942,0.1388998953879255,0.13903554408191382,0.13902427597743652,0.13888623275004147,0.13864207847462043,0.13831029366745212,0.13790637454187307,0.13744288879411293,0.13692984065595667,0.1363750977409825,0.1357847839649726,0.1351636114692996
2.08,0.1393514234122543,0.1394362401877467,0.13964516993836795,0.14002277068911834,0.14054760292750085,0.1411386340978046,0.14169452378699193,0.1421378584587767,0.14243070197857263,0.1425670357311577,0.14255885046617006,0.14242522655122364,0.14218612092433144,0.1418595827729891,0.1414608669676099,0.14100242403026697,0.14049422094290737,0.1399441397382294,0.13935835239442823,0.13874164079890178
2.12,0.14298757592490818,0.1430651338121576,0.14326182019118888,0.14362166488994024,0.144126257597927,0.14469853343601963,0.14524026227759307,0.14567511840885872,0.1459645577826946,0.1461012252919513,0.14609577723256123,0.1459662617342224,0.14573193679795862,0.1454104178452787,0.14501671124300305,0.14456314132723208,0.1440596282352123,0.1435140588201283,0.1429326438665016,0.14232022638554023
2.16,0.1466249801189014,0.14669462134102176,0.1468797542010682,0.1472226102207675,0.14770764306046563,0.14826160990176912,0.14878932397559602,0.14921559072329466,0.1495013596842351,0.14963803418601862,0.1496349970251324,0.14950929353485196,0.14927949210347763,0.14896277318315101,0.1485738886190708,0.14812502857288318,0.14762605765315606,0.1470848587290023,0.1465076727929887,0.14589939585473174
2.2,0.15026271291830676,0.15032465311024407,0.15049887789459365,0.15082547462091903,0.15129160305386913,0.15182770173226828,0.1523415597861301,0.15275914989257788,0.15304100818287214,0.1531773860350021,0.15317645188521084,0.15305427791739845,0.15282875319812828,0.1525166231124988,0.15213238000452506,0.15168807281001945,0.15119350276692725,0.15065654070131818,0.15008344984854627,0.14947917158847585
2.24,0.15390013574626354,0.1539551830939861,0.15411910368684165,0.15443013458161906,0.15487799088577214,0.15539665627787416,0.155896828043259,0.15630567572905457,0.15658340725500552,0.15671920660503302,0.15672008513308616,0.15660117158307085,0.15637968681650297,0.15607194204353267,0.15569216607107061,0.155252260415325,0.1547619558784626,0.15422910388163075,0.15365998254232488,0.15305957147345206
2.2800000000000002,0.15753691862173416,0.15758616858652147,0.15774034981928814,0.15803647440072544,0.15846666866868137,0.15896832934326038,0.15945499404533514,0.1598550530954171,0.16012846421943983,0.1602634237510554,0.16026584135210115,0.1601499319749948,0.15993226009247313,0.1596287045166593,0.15925322733882744,0.15881757724639467,0.15833140825605613,0.1578025456716116,0.1572372757058956,0.15664060954708545
