Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.92,0.034621101866092484,0.034621101865158335,0.03462110186436673,0.03462110186369444,0.03462110186312135,0.03462110186262998,0.0346211018622052,0.03462110186183416,0.03462110186150615,0.034621101861212734,0.03462110186094752,0.034621101860706265,0.034621101860486586,0.03462110186028764,0.03462110186010996,0.03462110185995471,0.034621101859823526,0.03462110185971792,0.03462110185963881,0.034621101859585855
0.96,0.038176841450531886,0.0381768414504018,0.038176841450292646,0.03817684145020118,0.03817684145012474,0.038176841450060846,0.03817684145000749,0.03817684144996274,0.03817684144992501,0.038176841449892716,0.03817684144986456,0.03817684144983943,0.03817684144981641,0.03817684144979483,0.038176841449774276,0.038176841449754535,0.03817684144973558,0.03817684144971749,0.03817684144970061,0.03817684144968525
1.0,0.041743955247761574,0.04174395524774357,0.041743955247728455,0.04174395524771576,0.04174395524770514,0.041743955247696245,0.041743955247688896,0.041743955247682825,0.04174395524767788,0.04174395524767385,0.04174395524767063,0.04174395524766801,0.04174395524766584,0.041743955247664034,0.041743955247662445,0.04174395524766095,0.041743955247659496,0.04174395524765802,0.04174395524765651,0.041743955247654944
1.04,0.04532052426490047,0.04532052426489809,0.045320524264896044,0.04532052426489435,0.045320524264892914,0.045320524264891665,0.045320524264890666,0.04532052426488979,0.04532052426488904,0.04532052426488844,0.04532052426488798,0.04532052426488761,0.045320524264887314,0.04532052426488708,0.04532052426488692,0.04532052426488679,0.04532052426488672,0.04532052426488665,0.0453205242648866,0.045320524264886516
1.08,0.048904913721281654,0.04890491372128136,0.0489049137212811,0.048904913721280856,0.04890491372128068,0.048904913721280543,0.04890491372128037,0.04890491372128029,0.04890491372128018,0.0489049137212801,0.04890491372128002,0.04890491372127996,0.048904913721279884,0.04890491372127986,0.048904913721279836,0.04890491372127982,0.0489049137212798,0.04890491372127978,0.04890491372127977,0.04890491372127976
1.12,0.05249572734524479,0.05249572734524477,0.05249572734524473,0.05249572734524469,0.052495727345244665,0.05249572734524463,0.052495727345244644,0.052495727345244624,0.05249572734524463,0.05249572734524458,0.05249572734524459,0.052495727345244575,0.05249572734524461,0.05249572734524459,0.05249572734524456,0.05249572734524456,0.052495727345244554,0.052495727345244596,0.05249572734524456,0.052495727345244575
1.16,0.056091788626585544,0.05609178862658552,0.05609178862658554,0.05609178862658551,0.05609178862658553,0.056091788626585516,0.05609178862658555,0.05609178862658553,0.056091788626585495,0.05609178862658552,0.05609178862658553,0.056091788626585516,0.056091788626585516,0.056091788626585516,0.05609178862658551,0.05609178862658552,0.05609178862658551,0.05609178862658552,0.05609178862658553,0.0560917886265855
1.2,0.05969213350097075,0.05969213350097079,0.059692133500970766,0.05969213350097078,0.05969213350097079,0.05969213350097079,0.059692133500970725,0.05969213350097079,0.05969213350097076,0.05969213350097078,0.05969213350097075,0.05969213350097077,0.05969213350097075,0.05969213350097078,0.059692133500970766,0.05969213350097076,0.05969213350097077,0.059692133500970745,0.05969213350097078,0.05969213350097075
1.24,0.06329600354781909,0.0632960035478191,0.06329600354781904,0.06329600354781907,0.06329600354781907,0.06329600354781904,0.06329600354781911,0.06329600354781907,0.06329600354781909,0.06329600354781909,0.0632960035478191,0.06329600354781909,0.06329600354781909,0.06329600354781909,0.06329600354781907,0.0632960035478191,0.06329600354781909,0.06329600354781907,0.06329600354781909,0.06329600354781907
1.28,0.06690283289528587,0.0669028328952859,0.0669028328952859,0.0669028328952859,0.0669028328952859,0.0669028328952859,0.06690283289528588,0.06690283289528592,0.0669028328952859,0.06690283289528588,0.06690283289528591,0.0669028328952859,0.0669028328952859,0.0669028328952859,0.06690283289528591,0.06690283289528591,0.06690283289528591,0.06690283289528592,0.06690283289528591,0.06690283289528591
1.32,0.07051222578606633,0.07051222578606631,0.07051222578606635,0.07051222578606631,0.07051222578606635,0.07051222578606633,0.07051222578606633,0.07051222578606633,0.07051222578606632,0.07051222578606632,0.07051222578606631,0.07051222578606633,0.07051222578606633,0.07051222578606632,0.07051222578606628,0.07051222578606632,0.07051222578606632,0.07051222578606632,0.07051222578606633,0.07051222578606633
1.36,0.07412392501482014,0.07412392501482012,0.07412392501482012,0.07412392501482015,0.07412392501482012,0.07412392501482012,0.07412392501482012,0.0741239250148201,0.07412392501482015,0.07412392501482012,0.07412392501482011,0.07412392501482012,0.07412392501482012,0.07412392501482012,0.07412392501482014,0.07412392501482014,0.07412392501482014,0.07412392501482012,0.07412392501482015,0.07412392501482011
1.4000000000000001,0.07773777396541187,0.07773777396541184,0.07773777396541187,0.07773777396541183,0.07773777396541182,0.07773777396541183,0.07773777396541184,0.07773777396541182,0.07773777396541184,0.07773777396541182,0.07773777396541187,0.07773777396541183,0.07773777396541183,0.07773777396541187,0.07773777396541183,0.07773777396541186,0.07773777396541184,0.07773777396541184,0.07773777396541182,0.07773777396541184
1.44,0.08135367655151174,0.08135367655151167,0.08135367655151174,0.0813536765515117,0.08135367655151172,0.08135367655151171,0.08135367655151175,0.08135367655151174,0.0813536765515117,0.08135367655151171,0.08135367655151174,0.0813536765515117,0.0813536765515117,0.08135367655151172,0.08135367655151171,0.08135367655151172,0.0813536765515117,0.08135367655151171,0.08135367655151174,0.0813536765515117
1.48,0.0849715598991702,0.0849715598991702,0.0849715598991702,0.08497155989917018,0.08497155989917021,0.08497155989917018,0.0849715598991702,0.0849715598991702,0.08497155989917023,0.0849715598991702,0.08497155989917018,0.08497155989917023,0.08497155989917018,0.08497155989917021,0.08497155989917018,0.08497155989917021,0.08497155989917018,0.08497155989917021,0.0849715598991702,0.08497155989917018
