Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.4,0.04258778543221217,0.041145426939614094,0.03970359821508542,0.03826186284276532,0.0368195092156018,0.03537538927131773,0.03392765059780736,0.0324732791075803,0.031007293320870332,0.02952127248336266,0.02800055534397588,0.026418667134664803,0.02472575375572046,0.022824085993188067,0.020520057487650983,0.017475111886370603,0.013407643081297292,0.008722276094819879,0.0040280216724126175,1.9590747342143147e-05,1.9590747342143147e-05,0.0008438632149405458,0.0016503719608735995,0.0024296327330974115,0.0031000421474090315,0.0035802582473800615,0.003826310998876042,0.0038213723973601777,0.0035758191572936348,0.0031202091725298217,0.002491019476705268,0.0017203549828172819,0.0008316180604683266,-0.00016158289337413548,-0.0012553076529141574,-0.002454603611308898,-0.0037723200394285178,-0.005227408862940668,-0.006842839567916436,-0.008643373741722736
0.42,0.04399453855332566,0.04255973538717696,0.041125857274280815,0.03969244775834731,0.03825874495995638,0.03682350087944066,0.03538468135547722,0.03393895454810119,0.032480791849551494,0.031000831251146964,0.0294827787847418,0.02789729217967577,0.026189448475562944,0.024252825883613518,0.0218815127429717,0.018734287209679276,0.014575466496171079,0.009842343081510087,0.00505816496312959,4.192254750388164e-05,4.192254750388164e-05,0.0009821849829755916,0.001914430694241573,0.00281300207396669,0.003600471916179007,0.00419990440068188,0.004570095137032205,0.00469244393284551,0.004569767155062934,0.0042247818340758105,0.0036902064169636326,0.0029990299208709353,0.0021791484411552674,0.001251260351062355,0.00022826362703256588,-0.0008847529439313054,-0.002090168540373652,-0.003397117806254865,-0.004820374018031027,-0.006378883021475469
0.44,0.045419206052497385,0.043992420179437816,0.04256695146386668,0.04114231418881565,0.03971768297212559,0.03829169100178423,0.036862095560344754,0.03542520918294796,0.03397490313458025,0.03250080154362561,0.030984883392061256,0.02939483431951152,0.027670615677258915,0.025697411829903725,0.023258693757335122,0.02001580016073238,0.015782994738886016,0.011025585530197484,0.006209429861490062,0.0013833124207549407,0.0013833124207549407,0.002060423312260932,0.002840399647669625,0.0036505449866079663,0.00438883473329639,0.004964306620884628,0.0053289191535970575,0.005464299627788814,0.00537286119141031,0.005073519423812864,0.0045938994611760915,0.00396268294827743,0.003205214167865001,0.002341774895183401,0.0013870979255412117,0.0003502588028558712,-0.0007653361141675696,-0.0019618481193026116,-0.0032466869223371705,-0.0046318980533409
0.46,0.046861147963844774,0.045442776106463884,0.04402610132713908,0.0426105979510147,0.041195362216211256,0.03977888787805127,0.038358695189294335,0.036930701991013275,0.03548812651573008,0.03401950949597086,0.03250501807525301,0.030909284507766702,0.029167159831500058,0.027155841275863225,0.024650020037637183,0.021318478352876223,0.01702758027516841,0.012265816844785853,0.007462165804843863,0.0031066491267525836,0.0031066491267525836,0.003494752246155027,0.004205617838758108,0.005000938870655127,0.005750141487691909,0.006352850256623878,0.0067506378469723,0.006917673205778384,0.006852330146362699,0.006572070140762854,0.006105115458198511,0.005482000510036761,0.004730404730644704,0.0038731043086733035,0.0029275951164318206,0.0019062813688740347,0.0008167121109169673,-0.00033826327512406773,-0.0015603644337876775,-0.0028556652520269447
0.48,0.04831972605488307,0.046910101752020684,0.045502533882320145,0.0440964448918201,0.04269083646669061,0.041284041051868885,0.03987331240675349,0.03845413434551994,0.037019020521477264,0.03555536345764154,0.034041445142519174,0.032438788053366724,0.030677189491953596,0.028626362089582046,0.026054150580122736,0.02264120195798637,0.01830649253447946,0.01355677290727857,0.008799118820758288,0.0037537363683726095,0.0037537363683726095,0.004065060144367094,0.004750516939690266,0.005547147970978,0.006316040238599579,0.006955222431675364,0.0074063278349553235,0.007643099116481972,0.007659966787899633,0.0074676563391344215,0.007087823175584167,0.00654645074631534,0.005868953845691938,0.0050777090273805645,0.004191211925793579,0.003223976752186433,0.002186646127946062,0.00108608474263662,-7.458697229434721e-05,-0.0012959732487820425
0.5,0.04979430602500025,0.04839370186253518,0.04699548523104817,0.045599013805106337,0.04420317759596597,0.04280612507209927,0.04140481368165293,0.039994254465826815,0.03856620741560627,0.03710685809600658,0.035592542884926914,0.03398164368022681,0.03219900937715308,0.030107452611095827,0.027469950149055455,0.023982894360190028,0.019617008915574306,0.014892411542200949,0.01020368365557513,0.006183973484481616,0.006183973484481616,0.00633055527466873,0.006763548185359787,0.0073691886696664825,0.00800897514500477,0.00856183942809737,0.008950146317646514,0.009136859198859669,0.00911372102779911,0.008891759166244198,0.008492644075666267,0.007941408466655326,0.007261928350287145,0.0064749581767381565,0.005597673684183365,0.004643837541976456,0.0036240958475827843,0.0025461984226574867,0.0014150922706042957,0.00023291479325619757
0.52,0.051284259362373276,0.04989288939478207,0.04850420284137225,0.047117478989638584,0.045731478434119115,0.04434414265501958,0.042952103201629496,0.04154986093844466,0.0401283765084688,0.038672576879817316,0.037156806103574774,0.035536300160500696,0.033731110065504784,0.031597800613544155,0.028896458781017542,0.025342519585177622,0.020956489421830836,0.016267135730474943,0.01166099156706088,0.007579104010313771,0.007579104010313771,0.007651638516825422,0.00796921640705164,0.008504873913822748,0.009116392503877857,0.00967389942008281,0.010092330937104882,0.010327088021845553,0.010361496666323421,0.010198543132303079,0.009854089089741197,0.009350222198090055,0.008710148676708943,0.007955293035220874,0.007104119444902319,0.006171916132316614,0.0051709797757397945,0.004110884209721886,0.0029986902342452448,0.001839054137450849
0.54,0.052788964972354815,0.05140698732588858,0.050027947564896647,0.04865103249026012,0.04727485523360813,0.04589712733939304,0.04451412562662154,0.04311980537439822,0.04170428634688021,0.04025119313692822,0.03873284490501945,0.037101351043188346,0.03527215607375135,0.03309628210167022,0.0303328648124604,0.02671908379798138,0.022322433052218094,0.017675932027495303,0.013160249589137241,0.00901683561372059,0.00901683561372059,0.009056407946907678,0.00928827701945137,0.00973481244217669,0.010277447343616436,0.010789140706015086,0.011180754420125397,0.011404623473707215,0.011442832294277358,0.011296785924825043,0.010979524185050358,0.010509695746254221,0.009907307041412008,0.00919128365414384,0.008378388763572876,0.007482931393923028,0.0065168414946047285,0.0054898619184877385,0.004409729596467635,0.003282291420671213
0.56,0.05430781062969905,0.05293533026378391,0.05156599541609594,0.05019888604482075,0.04883244976105838,0.04746414566284907,0.046089868225429736,0.04470299427423223,0.043292765900718067,0.04184146987970507,0.04031938207381007,0.03867552794736033,0.036820972962779176,0.034601940624979115,0.03177848141591024,0.02811163871143329,0.023712516052253243,0.019114429941205865,0.014692956983241193,0.011278533357937912,0.011278533357937912,0.011294314157679772,0.011423957010397442,0.011738534145192842,0.012171823594385818,0.012608294407954442,0.012952444805260055,0.013146422048332343,0.013164117670615037,0.013001969544531495,0.012670689481730581,0.01218821295159934,0.0115745670252577,0.010848886637147245,0.010028092730235302,0.009126552810507026,0.00815620308540651,0.0071268255508655075,0.006046326576420892,0.0049209509829065134
0.58,0.055840194278934656,0.054477265876561834,0.0531176391290584,0.051760272752190035,0.05040343103569817,0.049044298888619914,0.04767836244124951,0.04629839017487481,0.044892714865290825,0.043442258585838694,0.041915249308744684,0.040257692832303814,0.038376533994830944,0.03611396757749069,0.03323272643745197,0.029519285353735974,0.02512461362780984,0.020578898769791992,0.016252635022181397,0.012444332280386886,0.012444332280386886,0.012452183606769139,0.012541408199217752,0.01280187669204181,0.013193509152796575,0.013609526423323349,0.013955336622927292,0.014171028328301789,0.014226553133549768,0.014113024812612208,0.01383560392014939,0.013407626466184031,0.012845996958088138,0.012168118142902007,0.011390212267464814,0.010526610211677159,0.00958959387200632,0.008589501600292607,0.007534925438777719,0.0064329093811555625
