m_value,dT_step,Vl,I_0,delta_V,S(V),delta_V_shifted,S_V_shifted
1,0.02,1.64,0.097730433,-0.00030004178658793457,0.015002089329396728,0.9969995821341207,1.0030004178658793
1,0.02,1.66,0.099549733,-0.0004996154253829044,0.02498077126914522,0.995003845746171,1.004996154253829
1,0.02,1.68,0.101518715,-0.00029492670125685905,0.014746335062842952,0.9970507329874314,1.0029492670125686
1,0.02,1.7,0.103151336,-0.00041098316445697947,0.020549158222848973,0.9958901683554302,1.0041098316445698
1,0.02,1.72,0.105189406,-0.00036027985622122394,0.018013992811061197,0.9963972014377878,1.0036027985622122
1,0.02,1.74,0.106929853,-0.00028882804468932655,0.014441402234466327,0.9971117195531067,1.0028882804468933
1,0.02,1.76,0.108742497,-0.0004623321637415856,0.02311660818707928,0.9953766783625841,1.0046233216374159
1,0.02,1.78,0.110696288,-0.00028730289112766094,0.014365144556383047,0.9971269710887234,1.0028730289112766
1,0.02,1.8,0.112357035,-0.0003789065386701207,0.018945326933506035,0.9962109346132988,1.0037890653867012
1,0.02,1.82,0.114360901,-0.0003453041977414806,0.01726520988707403,0.9965469580225852,1.0034530419774148
1,0.02,1.84,0.116119516,-0.00027820438681835924,0.013910219340917962,0.9972179561318164,1.0027820438681836
1,0.02,1.86,0.117928328,-0.00042809393893694647,0.021404696946847324,0.9957190606106305,1.0042809393893695
1,0.02,1.88,0.11986743,-0.00027903105107851545,0.013951552553925772,0.9972096894892148,1.0027903105107852
1,0.02,1.9,0.121552511,-0.0003513235212215804,0.01756617606107902,0.9964867647877842,1.0035132352122158
1,0.02,1.92,0.123527526,-0.00032998955511676087,0.016499477755838043,0.9967001044488324,1.0032998955511676
1,0.02,1.94,0.125300397,-0.0002680126449083886,0.01340063224541943,0.9973198735509161,1.0026801264490839
1,0.02,1.96,0.127107298,-0.00039685274807399473,0.019842637403699737,0.99603147251926,1.00396852748074
1,0.02,1.98,0.129032591,-0.0002702976490727149,0.013514882453635746,0.9972970235092729,1.0027029764907271
1,0.02,2.0,0.13073862,-0.0003273108557397819,0.016365542786989096,0.9967268914426022,1.0032731085573978
