Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.86,0.074744083,0.073444493,0.072137459,0.070817416,0.069476462,0.068103308,0.066681688,0.065187921,0.06358718,0.061827928,0.059834385,0.057499384,0.054689,0.051289721,0.047326514,0.043050091,0.038788829,0.034770694,0.031253714,3.01E-02,0.028859651,0.028860099,0.028867979,0.028904275,0.028983483,0.029093337,0.029201713,0.029272572,0.029276199,0.029192577,0.029010866,0.02872744,0.02834372,0.027864322,0.027295642,0.026644864,0.025919319,0.025126092,0.024271812
0.88,0.076388591,0.075094497,0.073792054,0.072475379,0.071136163,0.069762591,0.068337717,0.066836988,0.06522449,0.063447434,0.061428905,0.05906171,0.056215431,0.052787095,0.048817384,0.044563345,0.040344967,0.036385684,0.032947966,3.19E-02,0.030794591,0.030794822,0.030799741,0.030825233,0.030884824,0.030970208,0.031053912,0.031102831,0.031088333,0.030990275,0.030797134,0.030504483,0.030113067,0.029627027,0.029052466,0.028396418,0.027666141,0.026868691,0.02601068
0.9,0.078039577,0.076750639,0.075452394,0.074138641,0.072800662,0.071426119,0.069997396,0.068489089,0.06686424,0.065068884,0.063025132,0.06062604,0.057745088,0.054289986,0.05031627,0.046085954,0.041910644,0.038009664,0.034649303,3.35E-02,0.032312495,0.032312623,0.032315888,0.032334808,0.032381982,0.032451963,0.032521178,0.032559455,0.032539673,0.032442028,0.032254546,0.031971887,0.031593691,0.03112299,0.030564913,0.029925709,0.029212054,0.028430603,0.02758772
0.92,0.079696674,0.078412546,0.077118102,0.075806822,0.074469583,0.073093526,0.071660377,0.070143903,0.068506146,0.066692047,0.064622896,0.062192273,0.059277911,0.055798276,0.051822875,0.047617457,0.043485315,0.039642046,0.036357144,3.54E-02,0.034369652,0.034369717,0.034371719,0.034384625,0.034418567,0.034469096,0.034515108,0.034528446,0.034483198,0.034360285,0.034148291,0.033842392,0.033442672,0.032952495,0.032377172,0.031722985,0.030996532,0.03020431,0.02935248
0.94,0.081359533,0.080079859,0.078788816,0.077479564,0.076142572,0.074764472,0.073326338,0.071801137,0.070149953,0.068316719,0.066222056,0.06376033,0.060813851,0.057311856,0.053336922,0.04915743,0.045068486,0.041282294,0.038071025,3.70E-02,0.036026663,0.036026698,0.036027971,0.036037126,0.0360627,0.036101684,0.036136049,0.036140368,0.036090254,0.035966961,0.035758563,0.035459286,0.035068156,0.034587585,0.034022138,0.033377581,0.032660192,0.031876305,0.031032019
0.96,0.083027817,0.08175224,0.080464197,0.079156528,0.077819301,0.076438638,0.074994984,0.073460524,0.071795433,0.06994272,0.067822491,0.065330146,0.06235287,0.05883062,0.054858149,0.050705478,0.046659704,0.042929923,0.039790447,3.88E-02,0.037809572,0.03780959,0.037810392,0.037816758,0.037835306,0.037863141,0.037883807,0.037873595,0.037809404,0.037673349,0.037454057,0.037146074,0.036748541,0.036263799,0.035696206,0.035051233,0.03433483,0.033553008,0.032711576
0.98,0.084701206,0.083429365,0.082143923,0.080837398,0.079499459,0.078115732,0.076666042,0.075121822,0.073442383,0.071569895,0.069424098,0.066901674,0.063894938,0.060354468,0.056386307,0.052261238,0.048258553,0.044584489,0.041515026,4.06E-02,0.03974503,0.039745039,0.039745526,0.039749772,0.039762562,0.03978087,0.039789608,0.039766649,0.039689979,0.039542219,0.039312111,0.038994134,0.038587319,0.038093925,0.037518271,0.03686582,0.036142531,0.03535442,0.034507298
1,0.086379394,0.085110929,0.083827688,0.082521874,0.08118276,0.079795483,0.078339263,0.076784812,0.075090621,0.073198107,0.071026794,0.068474876,0.065440027,0.061883304,0.057921161,0.053824371,0.049864648,0.046245586,0.043244403,4.23E-02,0.041333523,0.041333527,0.041333836,0.04133678,0.041345957,0.041358517,0.041360927,0.041332911,0.041253825,0.041106944,0.040881036,0.040570174,0.040172746,0.039690299,0.039126478,0.038486183,0.037774934,0.03699844,0.036162306
1.02,0.088062089,0.08679664,0.085515206,0.084209677,0.082868935,0.081477638,0.08001442,0.078449294,0.076739985,0.074827239,0.072630511,0.070049726,0.066988119,0.063417034,0.059462489,0.055394563,0.051477635,0.047912843,0.044978221,4.41E-02,0.04332135,0.043321352,0.043321537,0.043323423,0.04332916,0.043335071,0.043327763,0.043287557,0.04319445,0.043032318,0.042790508,0.042463658,0.042050677,0.041553536,0.040976186,0.040323701,0.039601668,0.038815771,0.037971539
1.04,0.089749015,0.088486221,0.087206206,0.085900543,0.084557734,0.083161966,0.081691303,0.08011509,0.078390332,0.07645719,0.074235193,0.071626207,0.068539195,0.064955568,0.061010079,0.056971518,0.053097183,0.049585914,0.046716207,4.59E-02,0.045040956,0.045040957,0.04504107,0.045042301,0.04504595,0.045048228,0.045036668,0.044992869,0.044897818,0.044735831,0.044496202,0.044173184,0.043765163,0.043273591,0.042701979,0.042055083,0.04133828,0.040557144,0.03971716
1.06,0.091439906,0.090179413,0.088900432,0.087594228,0.086248926,0.084848252,0.083369722,0.081782039,0.080041537,0.078087874,0.075840796,0.073204308,0.07009324,0.066498816,0.062563729,0.05855496,0.054722984,0.051264485,0.048458074,4.76E-02,0.046810189,0.046810189,0.046810257,0.046811024,0.046812999,0.046811907,0.046795493,0.046745981,0.046645031,0.046477517,0.046233134,0.045906398,0.045495819,0.045002855,0.044430936,0.043784667,0.043069251,0.042290078,0.041452464
1.08,0.093134513,0.091875968,0.090597643,0.0892905,0.087942294,0.086536302,0.085049504,0.083449995,0.081693487,0.079719219,0.077447288,0.074784025,0.071650241,0.068046693,0.064123246,0.060144629,0.056354751,0.052948261,0.05020357,4.95E-02,0.048733182,0.048733183,0.048733222,0.048733661,0.048734374,0.04873061,0.048710143,0.048655536,0.048548804,0.048375063,0.048124152,0.047790674,0.047373227,0.046873362,0.046294612,0.045641689,0.044919885,0.044134665,0.043291393
