Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.4,1.557842980644085e-07,1.3914666834824556e-07,1.2094976808200053e-07,1.0178801622623598e-07,8.251410940146079e-08,6.412787180875668e-08,4.758755936555422e-08,3.360750739202339e-08,2.252566621556021e-08,1.4290424760030475e-08,8.552933985398544e-09,4.80749474225311e-09,2.5215129752458836e-09,1.223073130932102e-09,5.420416761325009e-10,2.1601537714293136e-10,7.586781109476552e-11,2.295948241014221e-11,5.933914594708208e-12,1.448248670015436e-12
0.44,6.947094577292632e-07,6.81238401502997e-07,6.712037857618513e-07,6.638879000489301e-07,6.586751692733752e-07,6.550483481036111e-07,6.525826906969841e-07,6.509382640666813e-07,6.498506920998185e-07,6.491207303213345e-07,6.486031629972586e-07,6.481955653009785e-07,6.478274646198128e-07,6.474503497610888e-07,6.470288034717816e-07,6.465327668472286e-07,6.459305769797416e-07,6.451819190090596e-07,6.442290825179398e-07,6.42983565911247e-07
0.48,7.434844300202688e-05,6.894909081922415e-05,6.368469558728906e-05,5.8564054713624775e-05,5.359644686931058e-05,4.8791638576619034e-05,4.415988307025053e-05,3.971190827314517e-05,3.54588896795336e-05,3.141240255869335e-05,2.758434608494638e-05,2.398682964388152e-05,2.0632008525791877e-05,1.753185235829987e-05,1.4697824856187221e-05,1.2140447820530372e-05,9.868716186797582e-06,7.889325446886625e-06,6.205670676085384e-06,4.816583540561745e-06
0.52,0.0014268316652604409,0.0014233147956626414,0.0014199201903686523,0.0014166522785299758,0.001413515600303703,0.0014105147887604683,0.001407654545295582,0.0014049396068801167,0.0014023747030720208,0.0013999645001836838,0.0013977135293435652,0.0013956260943641008,0.001393706154299665,0.0013919571743178812,0.0013903819370041863,0.0013889823045285404,0.0013877589204303563,0.0013867108386729258,0.001385835068364729,0.0013851260279217654
0.56,0.0036248319666306894,0.0036210151111311416,0.003617210191350173,0.0036134181663559253,0.0036096402103120767,0.0036058777415582163,0.003602132457348176,0.0035984063758488765,0.0035947018874656835,0.0035910218181548835,0.003587369508151115,0.003583748910536231,0.003580164715393525,0.003576622507046626,0.0035731289642477824,0.003569692116386036,0.003566321673125669,0.003563029450689228,0.0035598299255173464,0.0035567409550818986
0.6,0.006679258908373564,0.00667875647754422,0.006678257452887768,0.006677760666215457,0.006677264979012822,0.006676769287814862,0.006676272528052548,0.006675773675815526,0.00667527174692538,0.006674765792682981,0.006674254891644862,0.006673738136801788,0.006673214617560211,0.006672683395947783,0.006672143476417123,0.006671593768425479,0.0066710330404800375,0.006670459863355469,0.006669872538412085,0.006669269003904114
0.64,0.009973546111744632,0.009973492265454341,0.009973442207450505,0.009973395682879587,0.00997335242552489,0.009973312159916784,0.009973274604021655,0.009973239472536642,0.009973206480796809,0.009973175349270273,0.009973145808575687,0.009973117604903266,0.009973090505659286,0.009973064305087974,0.009973038829569483,0.009973013942263092,0.009972989546795137,0.009972965589815256,0.009972942062504559,0.009972919001544015
0.68,0.013366181071053463,0.013366169683154551,0.013366159130911647,0.013366149408847575,0.013366140508693874,0.013366132418921733,0.013366125124282915,0.013366118605370098,0.013366112838210447,0.013366107793911576,0.013366103438385726,0.013366099732187331,0.013366096630508112,0.01336609408338536,0.01336609203618638,0.013366090430436404,0.013366089205051708,0.013366088298014148,0.013366087648472497,0.013366087199164257
0.72,0.016808527129377658,0.016808524943846017,0.016808522834864375,0.016808520804530217,0.01680851885531111,0.016808516989990176,0.01680851521160879,0.016808513523406284,0.016808511928755304,0.016808510431091488,0.016808509033833925,0.016808507740292796,0.016808506553558675,0.016808505476366527,0.01680850451092801,0.016808503658722412,0.0168085029202397,0.01680850229466891,0.016808501779532265,0.01680850137027636
0.76,0.020282144134952093,0.020282143870386043,0.02028214360959476,0.020282143352151307,0.02028214309773062,0.02028214284610682,0.020282142597149447,0.0202821423508193,0.020282142107163684,0.020282141866312355,0.020282141628474262,0.020282141393936068,0.02028214116306308,0.02028214093630359,0.02028214071419694,0.02028214049738627,0.020282140286636746,0.020282140082859612,0.020282139887143225,0.0202821397007916
