Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.4,0.03978340692082577,0.038318022117185324,0.03685051331962363,0.03537991594561708,0.033904827328987745,0.03242317332187383,0.030931825362290492,0.02942595284299085,0.027897890044594312,0.026335078491730307,0.024716180521429626,0.023003464643245215,0.021127595592876677,0.018958684176417946,0.016267701043344386,0.012776869957428348,0.008569905519718106,0.004340087689415906,0.000934757861847021,3.1741558038756385e-17,3.1741558038756385e-17,5.1829792987826485e-06,0.00014803199686468118,0.00047939461802067143,0.0008332758189285824,0.001106643086891565,0.0012521013336734544,0.001226405681997462,0.000999923902930663,0.0005721879754688304,-3.635192189155442e-05,-0.000801042568230206,-0.0017044231217892133,-0.002740904316021253,-0.00391715582472869,-0.0052501205275941164,-0.006763804094565495,-0.008485654357556684,-0.010443173661575288,-0.012661207161900494
0.42,0.04114299111212992,0.039682992700432546,0.038221031952757695,0.036756076431932794,0.03528660879891026,0.03381036555900027,0.03232390800939327,0.030821896494549774,0.029295821777029874,0.02773170647278055,0.026105783061134296,0.02437609723149054,0.022466015466621678,0.020234031115724194,0.017438923255429097,0.013813495150864356,0.009481482309780801,0.005089167953763911,0.001314351759349881,1.5608455560056225e-16,1.5608455560056225e-16,6.091048542347752e-06,0.00016419314126171316,0.0005628028455942404,0.0010499272606136728,0.0014836564182765793,0.0017861721256032918,0.0019085163906216603,0.0018210924780219645,0.0015207231194294107,0.001025759438451808,0.0003631471821135333,-0.00044212741688747685,-0.001372800682988048,-0.0024216562355842295,-0.0035917364651813725,-0.00489515893204209,-0.006350992659119456,-0.00798262505160438,-0.00981505353066698
0.44,0.04252139713074185,0.04106733406060354,0.03961147837229935,0.038152721919791535,0.036689420758257554,0.03521910416485219,0.03373799674539884,0.032240210695792325,0.030716336395314667,0.02915089713524914,0.027517590106772613,0.02577013209148055,0.02382462110824785,0.02152866002720334,0.018631926034445162,0.014883857314335744,0.010446946689569667,0.005919201453729485,0.0018183041981262393,1.1251873298827801e-15,1.1251873298827801e-15,9.590147504187193e-05,0.00034017503273059646,0.0007455250071355383,0.0012395111806165291,0.0016945978779502363,0.002034910205494558,0.002213964209835243,0.0022015071984287744,0.0019893343113535954,0.0015899896919038762,0.0010265939618086754,0.00032323930990716364,-0.0005005171859705322,-0.0014320914504520861,-0.0024667006994955653,-0.003607305281834043,-0.004863891924285049,-0.006252195681914343,-0.007792005929703079
0.46,0.043917994765574675,0.04247035042039705,0.0410210817122318,0.03956899526073979,0.03811230667431953,0.03664831803223281,0.03517288860835289,0.03367954170478999,0.032157910289690686,0.030590941596075075,0.028949705056174477,0.02718351739756628,0.025201323702661125,0.022840745150537002,0.01984560878641653,0.015987223948957165,0.011464646511983355,0.006829162888545552,0.002464572994009556,6.500204946627686e-10,6.500204946627686e-10,0.0001454017080975203,0.0007036935255861417,0.001398449763935185,0.0020804238450353603,0.002653340202372297,0.003064477833143511,0.003285908939315067,0.003301967220034242,0.0031124276899827004,0.0027330914676051664,0.002188981054427743,0.0015064950220797044,0.000708426592846271,-0.00018828282682491985,-0.0011732859548979563,-0.0022429093672006444,-0.003399887813570702,-0.004652794230424647,-0.006015147605854824
0.48,0.04533215245707527,0.04389134602822001,0.04244907303201374,0.04100404388837811,0.0395543183376334,0.03809694967016016,0.03662740176511341,0.03513856759462282,0.03361906687315005,0.03205019956732021,0.030400330136556165,0.028614341053493524,0.0265942234637943,0.024168682251519538,0.021079000088237574,0.017122667635070428,0.012532441735970838,0.007816428131124396,0.003251159905216825,1.254459318262014e-05,1.254459318262014e-05,0.00017431544932017035,0.0007782835182828989,0.0015443498671744353,0.002314064288516295,0.00298423829202701,0.003498234341332172,0.0038280324152378887,0.003957593002324513,0.0038829681665124407,0.00361441530011592,0.003172372758826975,0.00258103689647882,0.001863552384834456,0.0010394581460958455,0.0001235780795153657,-0.0008744102008639357,-0.0019501127284433286,-0.0031043656705070834,-0.00434296768664919
0.5,0.0467632394762422,0.04532962761275132,0.043894688125531364,0.042457023067111924,0.04101451963953208,0.039563959595080356,0.038100380579963414,0.03661600400559497,0.03509838289109063,0.03352710581495464,0.031867772026969735,0.030060833341753076,0.02800160495181056,0.025511069076338908,0.022331224883874914,0.018289085124052196,0.013647798928193018,0.0088769849368371,0.004169768638676446,0.00022431633451074182,0.00022431633451074182,0.0009654565638459534,0.0016325930615806832,0.002367984290523186,0.003100858831301583,0.0037450837158658915,0.004243454035351526,0.004567206847159189,0.004702468664347927,0.004646658071860072,0.0044088085441212075,0.00400659720716786,0.0034613153077345223,0.002793829437230954,0.0020223921550160118,0.0011617504092226068,0.00022285449803745652,-0.0007872447102971955,-0.001865457389550483,-0.0030126708332666556
0.52,0.04821062787614587,0.046784506604811066,0.045357170070768366,0.04392709882903105,0.042491989952617784,0.04104833019795265,0.03959069997696038,0.03811060893609004,0.03659449342045319,0.03502017484702363,0.033350445151972,0.031521366704943016,0.02942192945053747,0.026866684840834966,0.02360147850092969,0.01948522616055459,0.014807893913219041,0.010005738190518797,0.005216080134692185,0.00032819297666778467,0.00032819297666778467,0.001383548751052579,0.002298586383861596,0.003196317722029371,0.004047152898210508,0.004788258588715831,0.00537017332064347,0.005766210905271689,0.00596367885515885,0.005960635720675749,0.0057662667187932636,0.005398617544060705,0.004880027924660008,0.0042330231481921875,0.0034778667798154262,0.0026315235063528106,0.0017074009729401412,0.0007153869106435937,-0.00033806982955443717,-0.0014499142897235438
0.54,0.049673694269830905,0.04825530116312761,0.04683577154366937,0.045413450613809296,0.04398582712569235,0.042549069101567694,0.04109726912158407,0.03962118662171117,0.03810609565319084,0.03652800400676203,0.03484687296035797,0.03299445319549537,0.030853825252535154,0.028234469817363706,0.02488900717181182,0.02070972772410991,0.01600971644040803,0.011196854382094437,0.006381081295688946,0.0007063760932385909,0.0007063760932385909,0.0017228165059367687,0.0026438317531439237,0.0035605095324757518,0.004439411352322286,0.00521750314242066,0.005845038303436853,0.006296026765634005,0.006558670699348967,0.006630005612891647,0.006515917867792625,0.006230261131051117,0.005791687202772327,0.005220175618266942,0.004534652295244466,0.0037517963210636036,0.002885612791451799,0.0019473634466879875,0.0009456021710534026,-0.00011380167737519084
0.56,0.051151821458117905,0.049741338019620496,0.048329756906732614,0.04691527362016969,0.04549515010350433,0.04406521202538163,0.04261903445350383,0.041146590561100815,0.03963195156860279,0.03804927515277966,0.03635568749611982,0.03447874008651336,0.0322960765686254,0.029613505769640454,0.02619309432045064,0.021961150158902223,0.01725017080833955,0.012444123324241404,0.007646270239334078,0.0033581815988204013,0.0033581815988204013,0.0038071222742171672,0.004457703190506082,0.005216857772710825,0.0059932935979560295,0.006704665948388549,0.007287260855811938,0.007703993301412086,0.007937663499345804,0.00798459972106155,0.007851680352018406,0.0075534899110589766,0.007108669651517419,0.006536632517669191,0.005855474531803162,0.00508102573726617,0.0042266137677687485,0.0033031500188892664,0.002319296266852419,0.001281594058177649
0.58,0.05264439991759559,0.05124195415147646,0.049838404078452164,0.04843178087640577,0.04701910118333328,0.04559582517901174,0.044154982107840905,0.04268572575326647,0.04117088960469199,0.03958275510882777,0.03787562755385394,0.03597300408513144,0.033747611651561246,0.031002997724823064,0.02751305165387718,0.023238012447244726,0.018526167081186727,0.013741303018907945,0.00899266126412709,0.00442578411140656,0.00442578411140656,0.004692393272984927,0.005289721560883083,0.006046054741257225,0.0068406807328893725,0.007584656631805141,0.008211694191941694,0.008682577173284207,0.008977702622111422,0.009090064846597464,0.009022512594986808,0.00878594574829944,0.008396522663472242,0.00787256216526128,0.0072321668484644245,0.006491859957824067,0.005666017448724261,0.004766765756074908,0.0038040873842147367,0.002785976444823284
